# Delta	Pbty
-1.764705882352941568e-01 1.000000000000000000e+00
-1.428571428571428492e-01 1.000000000000000000e+00
-1.111111111111110772e-01 1.000000000000000000e+00
-8.108108108108108558e-02 1.000000000000000000e+00
-5.263157894736841119e-02 9.969999999999999973e-01
-4.166666666666665048e-02 9.795000000000000373e-01
-2.564102564102566442e-02 8.425000000000000266e-01
-2.040816326530614164e-02 7.574999999999999512e-01
-1.522842639593910072e-02 6.400000000000000133e-01
-1.010101010101011054e-02 5.040000000000000036e-01
-5.025125628140707928e-03 3.454999999999999738e-01
0.000000000000000000e+00 2.154999999999999971e-01
4.975124378109457846e-03 1.204999999999999960e-01
9.900990099009909784e-03 5.899999999999999689e-02
2.439024390243904952e-02 2.500000000000000052e-03
4.761904761904765804e-02 0.000000000000000000e+00
