# Delta	Pbty
-1.764705882352941568e-01 1.000000000000000000e+00
-1.428571428571428492e-01 1.000000000000000000e+00
-1.111111111111110772e-01 9.985000000000000542e-01
-1.049723756906077027e-01 9.915000000000000480e-01
-9.890109890109893831e-02 9.675000000000000266e-01
-9.289617486338799801e-02 9.250000000000000444e-01
-8.695652173913046012e-02 8.535000000000000364e-01
-8.108108108108108558e-02 7.359999999999999876e-01
-7.526881720430109168e-02 5.915000000000000258e-01
-6.951871657754010725e-02 4.380000000000000004e-01
-6.382978723404254817e-02 3.130000000000000004e-01
-5.820105820105819089e-02 1.839999999999999969e-01
-5.263157894736841119e-02 1.049999999999999961e-01
-4.712041884816751958e-02 5.850000000000000339e-02
-4.166666666666665048e-02 2.850000000000000103e-02
-3.626943005181344076e-02 8.999999999999999320e-03
-3.092783505154642065e-02 2.500000000000000052e-03
-2.564102564102566442e-02 5.000000000000000104e-04
0.000000000000000000e+00 0.000000000000000000e+00
2.439024390243904952e-02 0.000000000000000000e+00
4.761904761904765804e-02 0.000000000000000000e+00
