# Time	a_winner	a_loosers
0.000000000000000000e+00 1.085555630514140057e+00 9.932197342725389566e-01
1.361000000000000057e-02 1.091365678416085228e+00 9.929671234941936930e-01
2.289000000000000062e-02 1.097371859824498364e+00 9.927059851720886341e-01
3.216999999999999721e-02 1.103581003633868685e+00 9.924360223977686246e-01
4.145000000000000073e-02 1.110000238141781947e+00 9.921569252452502319e-01
5.072000000000000119e-02 1.116637016568401197e+00 9.918683696614842837e-01
5.999000000000000166e-02 1.123499146594394649e+00 9.915700161820930614e-01
6.926000000000000212e-02 1.130594824736848913e+00 9.912615084367694118e-01
7.853000000000000258e-02 1.137932677418086458e+00 9.909424713636718618e-01
8.779000000000000692e-02 1.145521808485755466e+00 9.906125091433382046e-01
9.704999999999999738e-02 1.153371856807831053e+00 9.902712026945529322e-01
1.093200000000000005e-01 1.161493065980834904e+00 9.899181066435525089e-01
1.184400000000000036e-01 1.169896368830154465e+00 9.895527456501035379e-01
1.259000000000000119e-01 1.178593492928455611e+00 9.891746098197430337e-01
1.381900000000000073e-01 1.187597092776291108e+00 9.887831489567932008e-01
1.471899999999999875e-01 1.196920919074915490e+00 9.883777652046792372e-01
1.561899999999999955e-01 1.206580039606797383e+00 9.879578034424235655e-01
1.651700000000000113e-01 1.216591134740439006e+00 9.875225384366127512e-01
1.765500000000000125e-01 1.226972905331128016e+00 9.870711571065828860e-01
1.853400000000000047e-01 1.237746654417521297e+00 9.866027332332619748e-01
1.941100000000000048e-01 1.248937156287868833e+00 9.861161896736809762e-01
2.058699999999999974e-01 1.260574021391271282e+00 9.856102390170119465e-01
2.142999999999999905e-01 1.272693912447852904e+00 9.859750357411992683e-01
2.227099999999999913e-01 1.285371867746934793e+00 9.862887187691579127e-01
2.331300000000000039e-01 1.298687914055880022e+00 9.857085538820342663e-01
2.428599999999999925e-01 1.312766359859972143e+00 9.859785871333365259e-01
2.524899999999999922e-01 1.328310211731797308e+00 9.870880037699667486e-01
2.620999999999999996e-01 1.342907509671708466e+00 9.891048240087942922e-01
2.710600000000000231e-01 1.358034479887456403e+00 9.893290797451615992e-01
2.809599999999999875e-01 1.374132628044303583e+00 9.895144210749936553e-01
2.915699999999999958e-01 1.391635350429943907e+00 9.905009957562899148e-01
3.017199999999999882e-01 1.409702087709026053e+00 9.914616528986421873e-01
