# Time	a_winner	a_loosers
1.229000000000000058e-02 1.080648682235786806e+00 9.972682802615289166e-01
2.001999999999999960e-02 1.086401700662495307e+00 9.970581129789767294e-01
3.271000000000000296e-02 1.092362717585517728e+00 9.968389007613506214e-01
4.202000000000000179e-02 1.098540490175891726e+00 9.966102626135456832e-01
5.131999999999999756e-02 1.104944441018150592e+00 9.963717885839729060e-01
6.060999999999999721e-02 1.111584791319588206e+00 9.961230339691447000e-01
7.237999999999999989e-02 1.118472745459353046e+00 9.958635112851723648e-01
8.147000000000000075e-02 1.125620756182646343e+00 9.955926787316571325e-01
9.053999999999999548e-02 1.133042926075279455e+00 9.953099227283854766e-01
1.026999999999999996e-01 1.140755652452065450e+00 9.950145298656930537e-01
1.114200000000000051e-01 1.148778752581796070e+00 9.947056379651941782e-01
1.201200000000000045e-01 1.157137656344239263e+00 9.943821407198537576e-01
1.308999999999999886e-01 1.165868450145899571e+00 9.940424683419546437e-01
1.409799999999999942e-01 1.175033241243169657e+00 9.936839194246915863e-01
1.503200000000000092e-01 1.184813201650773529e+00 9.932986150353972921e-01
1.600999999999999923e-01 1.194764942992121881e+00 9.937900910591404013e-01
1.702799999999999869e-01 1.204714609659948588e+00 9.933970527114879268e-01
1.816099999999999937e-01 1.215275757016470282e+00 9.938393144284123348e-01
1.920199999999999962e-01 1.225362547931691415e+00 9.934398891152080857e-01
2.017500000000000127e-01 1.235844658607193391e+00 9.930232467877295743e-01
2.114699999999999913e-01 1.246750048389123400e+00 9.925881694312538306e-01
2.212000000000000077e-01 1.258112993159435922e+00 9.921331633883722079e-01
2.309199999999999864e-01 1.269977485317983268e+00 9.925518139295002040e-01
2.406300000000000106e-01 1.282403030581454884e+00 9.929093998365621232e-01
2.503500000000000170e-01 1.295494891483780053e+00 9.932930592561125538e-01
2.600600000000000134e-01 1.309475950465139427e+00 9.927227435407607326e-01
2.742800000000000238e-01 1.324616819365355802e+00 9.938634293535701936e-01
2.838399999999999812e-01 1.339575952041828666e+00 9.969602264341931308e-01
2.933999999999999941e-01 1.354063071437411780e+00 9.981694299391360437e-01
3.029499999999999971e-01 1.368434554436593009e+00 1.000329507231809023e+00
3.140700000000000158e-01 1.383622375297500540e+00 1.000598096489357491e+00
3.235399999999999943e-01 1.399931734352702462e+00 1.000830740108509254e+00
3.330099999999999727e-01 1.418068512052904184e+00 1.003641566586934264e+00
3.424699999999999966e-01 1.435211232160010564e+00 1.011329525260434403e+00
3.519200000000000106e-01 1.451236652756437984e+00 1.012425420251793495e+00
3.613799999999999790e-01 1.467095007000358553e+00 1.015544372126414796e+00
3.708199999999999830e-01 1.483816322226736872e+00 1.015729868873638919e+00
3.802599999999999869e-01 1.501739627980799741e+00 1.021815001842856896e+00
3.928900000000000170e-01 1.520652965583205951e+00 1.023677426014935055e+00
4.021199999999999775e-01 1.539802410930580789e+00 1.024787794463919433e+00
4.113399999999999834e-01 1.560260787080826494e+00 1.033369962161762912e+00
4.205499999999999794e-01 1.578735487004645721e+00 1.033427773833415886e+00
4.321599999999999886e-01 1.597791781937073274e+00 1.041358030550114444e+00
4.411399999999999766e-01 1.616380274903882031e+00 1.045402422204961157e+00
4.501100000000000101e-01 1.636453207131010945e+00 1.055583112276294200e+00
4.618800000000000128e-01 1.655848049197210292e+00 1.062193307758732885e+00
4.706699999999999773e-01 1.675721196334637897e+00 1.069311823918516646e+00
4.814399999999999791e-01 1.696812830014753803e+00 1.071291857320837648e+00
4.914200000000000235e-01 1.716347171209420486e+00 1.078827885496271177e+00
5.007700000000000484e-01 1.737304728699758494e+00 1.081748670224630615e+00
5.102700000000000014e-01 1.756587671425733355e+00 1.088032165338227664e+00
5.201500000000000012e-01 1.777434157142834481e+00 1.090248133891362547e+00
5.302499999999999991e-01 1.799038180629214834e+00 1.098964632056050661e+00
5.405699999999999950e-01 1.819310855291476736e+00 1.104112084445637576e+00
5.515099999999999447e-01 1.840671711017794143e+00 1.110460464528625124e+00
5.604999999999999982e-01 1.860377535288116446e+00 1.114976919770002572e+00
5.700300000000000367e-01 1.881320496664005137e+00 1.116237577056654828e+00
5.802000000000000490e-01 1.904138732662277400e+00 1.122138770039459388e+00
5.901899999999999924e-01 1.928559084938622936e+00 1.131530786351240936e+00
6.003100000000000103e-01 1.951726955244930561e+00 1.143941554968610053e+00
6.112400000000000055e-01 1.974644371260192433e+00 1.152036984130928587e+00
6.201299999999999590e-01 1.995507664404681414e+00 1.164885706299018109e+00
6.301400000000000334e-01 2.014975906751039769e+00 1.174553137071084219e+00
6.413100000000000467e-01 2.035117997515236699e+00 1.179670412419075776e+00
6.506199999999999761e-01 2.055676585478783736e+00 1.193658146135817999e+00
6.600599999999999801e-01 2.076524149736661329e+00 1.198204601472974584e+00
6.701899999999999524e-01 2.099346663601559637e+00 1.201013623891574955e+00
6.802099999999999813e-01 2.123338924382439430e+00 1.217777492655701010e+00
6.910800000000000276e-01 2.143104576226090963e+00 1.234171026280358019e+00
7.004700000000000371e-01 2.162779305942892805e+00 1.238200787022851301e+00
7.101899999999999880e-01 2.183630697463584180e+00 1.245871866056050603e+00
7.200400000000000134e-01 2.206023112803020325e+00 1.252911857082752878e+00
7.313199999999999701e-01 2.225725280527417915e+00 1.263920017075639057e+00
7.410099999999999465e-01 2.245828211671105024e+00 1.274608104147776588e+00
7.502199999999999980e-01 2.265845960694138572e+00 1.282309043023851070e+00
7.629599999999999715e-01 2.285030164993186119e+00 1.297719883565794374e+00
7.709000000000000297e-01 2.303469337515140491e+00 1.307018808378803021e+00
7.826100000000000279e-01 2.320234895990399782e+00 1.314748545140009606e+00
7.915999999999999703e-01 2.338297766001323552e+00 1.320488698596495869e+00
8.005799999999999583e-01 2.355947957075303467e+00 1.333853231105660564e+00
8.126200000000000090e-01 2.373048047173526687e+00 1.341934255542993615e+00
8.211899999999999755e-01 2.389904133056542257e+00 1.345353397056967104e+00
8.320899999999999963e-01 2.407668868710227894e+00 1.348220239273475229e+00
8.402199999999999669e-01 2.425617593700687191e+00 1.348626863188175040e+00
8.517200000000000326e-01 2.444861999316374490e+00 1.353697739671226863e+00
8.602100000000000302e-01 2.463457446343222834e+00 1.361994372819448795e+00
8.706500000000000350e-01 2.481932344447538519e+00 1.365786773800879761e+00
8.815399999999999903e-01 2.501701642042321705e+00 1.382841697155416494e+00
8.913200000000000012e-01 2.520221354581456907e+00 1.398063491945869652e+00
9.011599999999999611e-01 2.536925809399445342e+00 1.407437664117729303e+00
9.109899999999999665e-01 2.553342076477689293e+00 1.418726331230279580e+00
9.208300000000000374e-01 2.569852406458435379e+00 1.428416246127548250e+00
9.306699999999999973e-01 2.586515106541551923e+00 1.435953762954769397e+00
9.405000000000000027e-01 2.603114165729962348e+00 1.452268729862437713e+00
9.503399999999999626e-01 2.618497692203180627e+00 1.465572516916077150e+00
9.601800000000000335e-01 2.633299471961237703e+00 1.477533091518859587e+00
9.700100000000000389e-01 2.647521355288307010e+00 1.480437454145371090e+00
9.881299999999999528e-01 2.662280551396968953e+00 1.485990552840531276e+00
9.994499999999999496e-01 2.677948742249327996e+00 1.490881092885608439e+00
1.009109999999999951e+00 2.693584664387212779e+00 1.498017338137208609e+00
1.018760000000000110e+00 2.709721644286145814e+00 1.503666573657747474e+00
1.028419999999999890e+00 2.725272157313535892e+00 1.507829393420984765e+00
1.038079999999999892e+00 2.741464838299722651e+00 1.515818102313363669e+00
1.047730000000000050e+00 2.757798461016333302e+00 1.526905695533846474e+00
1.057390000000000052e+00 2.775648108228119693e+00 1.531932063849181791e+00
1.067039999999999988e+00 2.793046100550810706e+00 1.554002209249078392e+00
1.076689999999999925e+00 2.808420556296990167e+00 1.554685532529667569e+00
1.086340000000000083e+00 2.823308606454905334e+00 1.560913288538014365e+00
1.096000000000000085e+00 2.838316398918476757e+00 1.573346226740645948e+00
1.105650000000000022e+00 2.853725317727675570e+00 1.585712560199084464e+00
1.115299999999999958e+00 2.867937975657627980e+00 1.601620927858034449e+00
1.124940000000000051e+00 2.880997302708071750e+00 1.608159486765631474e+00
1.134589999999999987e+00 2.894342172052600581e+00 1.611876490599205347e+00
1.144239999999999924e+00 2.908862255531917018e+00 1.624272352459405599e+00
1.153880000000000017e+00 2.921821898344848734e+00 1.643817349783554871e+00
1.163529999999999953e+00 2.934809665746139551e+00 1.649895561474851391e+00
1.173170000000000046e+00 2.948321844065221686e+00 1.657368016729705573e+00
1.182809999999999917e+00 2.962505633662956495e+00 1.662995425971373953e+00
1.192450000000000010e+00 2.976737114031124065e+00 1.672954749464135249e+00
1.202090000000000103e+00 2.990777146085042748e+00 1.673970741686229724e+00
1.211729999999999974e+00 3.003677200997643570e+00 1.688765822711949971e+00
1.221360000000000001e+00 3.015886212840210412e+00 1.699581534526045878e+00
1.231000000000000094e+00 3.028435799620899260e+00 1.704534851111171978e+00
1.240629999999999900e+00 3.041423591570121321e+00 1.709843611943881569e+00
1.250259999999999927e+00 3.055040453625078811e+00 1.720339054451504701e+00
1.264760000000000106e+00 3.068771517853444930e+00 1.731534803398625089e+00
1.274199999999999999e+00 3.082016028559781518e+00 1.744555570238943476e+00
1.283639999999999892e+00 3.095948808032658928e+00 1.750712205774888064e+00
1.293069999999999942e+00 3.110967166835786557e+00 1.752404048955876981e+00
1.302499999999999991e+00 3.125066776783575584e+00 1.767865801525075220e+00
1.311930000000000041e+00 3.137959422876940074e+00 1.775485542743272527e+00
1.321350000000000025e+00 3.151088409932965018e+00 1.782795219794429231e+00
1.330770000000000008e+00 3.165287828785027902e+00 1.788577015533528325e+00
1.341250000000000053e+00 3.178749831634443801e+00 1.801465287297547402e+00
1.350619999999999932e+00 3.193011401986064257e+00 1.811000949647653124e+00
1.364959999999999951e+00 3.206480523012690487e+00 1.821744439301984153e+00
1.373969999999999914e+00 3.219880281534159394e+00 1.825181357203653043e+00
1.382970000000000033e+00 3.234342804546478600e+00 1.833302033317635304e+00
1.391969999999999930e+00 3.249297067152396412e+00 1.842226905025123651e+00
1.400949999999999918e+00 3.263492749944808757e+00 1.876407540288062448e+00
1.413149999999999906e+00 3.276359273713207454e+00 1.887811640317450523e+00
1.421740000000000004e+00 3.289163458065618162e+00 1.886718339824597690e+00
1.430309999999999970e+00 3.302185163865745565e+00 1.892895308289736178e+00
1.440989999999999993e+00 3.315122926469182385e+00 1.904478977967884790e+00
1.450890000000000013e+00 3.327237563593553826e+00 1.919895357073649000e+00
1.460169999999999968e+00 3.339594261350723681e+00 1.933182211921528060e+00
1.470650000000000013e+00 3.352084448954643747e+00 1.942768468624179290e+00
1.480050000000000088e+00 3.365129112185583526e+00 1.963134533756170308e+00
1.491919999999999913e+00 3.376422795168141811e+00 1.986268689175792357e+00
1.500860000000000083e+00 3.387486060531600618e+00 1.999020614924378769e+00
1.510699999999999932e+00 3.397003182877452510e+00 2.005254297886339909e+00
1.520529999999999937e+00 3.406768354503644680e+00 2.012922484230657005e+00
1.530370000000000008e+00 3.416836187802902991e+00 2.026004534027629145e+00
1.540200000000000014e+00 3.426944570660674039e+00 2.045525250621135882e+00
1.550030000000000019e+00 3.436959882477702788e+00 2.050253338204864662e+00
1.568100000000000049e+00 3.447369845673721844e+00 2.053082585145728167e+00
1.577790000000000026e+00 3.458610903145197035e+00 2.060004253487417891e+00
1.587469999999999937e+00 3.469023112605746473e+00 2.067992184422957624e+00
1.598719999999999919e+00 3.479203917896453113e+00 2.069974565589583371e+00
1.608370000000000077e+00 3.489364798230898845e+00 2.076311895541390840e+00
1.618020000000000014e+00 3.499343948814999994e+00 2.088035666338129204e+00
1.627669999999999950e+00 3.509143798784361223e+00 2.090040204086390130e+00
1.637320000000000109e+00 3.519305259393651131e+00 2.110861580760484024e+00
1.646970000000000045e+00 3.528764465085255431e+00 2.114616743356334538e+00
