# beta	Gamma
4.378122282949382105e-01 -1.000000000000000000e+00
4.376835506546823407e-01 -9.990004997501250594e-01
4.375548141036338379e-01 -9.980019980019980697e-01
4.374260186093791303e-01 -9.970044932601098697e-01
4.372971641394828302e-01 -9.960079840319361333e-01
4.371682506614872343e-01 -9.950124688279302632e-01
4.370392781429121021e-01 -9.940179461615155088e-01
4.369102465512547662e-01 -9.930244145490781937e-01
4.367811558539902439e-01 -9.920318725099601664e-01
4.366520060185712371e-01 -9.910403185664510284e-01
4.365227970124282431e-01 -9.900497512437811398e-01
4.363935288029688331e-01 -9.890601690701144033e-01
4.362642013575785960e-01 -9.880715705765407142e-01
4.361348146436204165e-01 -9.870839542970691882e-01
4.360053686284349195e-01 -9.860973187686197239e-01
4.358758632793400256e-01 -9.851116625310173402e-01
4.357462985636310626e-01 -9.841269841269840724e-01
4.356166744485816533e-01 -9.831432821021319768e-01
4.354869909014415508e-01 -9.821605550049554711e-01
4.353572478894392472e-01 -9.811788013868251168e-01
4.352274453797798648e-01 -9.801980198019801804e-01
4.350975833396461545e-01 -9.792182088075210844e-01
4.349676617361985520e-01 -9.782393669634026345e-01
4.348376805365742892e-01 -9.772614928324270256e-01
4.347076397078888377e-01 -9.762845849802371800e-01
4.345775392172342433e-01 -9.753086419753087544e-01
4.344473790316801809e-01 -9.743336623889438108e-01
4.343171591182736768e-01 -9.733596447952639341e-01
4.341868794440391088e-01 -9.723865877712031258e-01
4.340565399759779841e-01 -9.714144898965008101e-01
4.339261406810694388e-01 -9.704433497536946174e-01
4.337956815262696275e-01 -9.694731659281141667e-01
4.336651624785114456e-01 -9.685039370078739607e-01
4.335345835047064167e-01 -9.675356615838662799e-01
4.334039445717416950e-01 -9.665683382497542997e-01
4.332732456464827853e-01 -9.656019656019655395e-01
4.331424866957716002e-01 -9.646365422396856459e-01
4.330116676864279590e-01 -9.636720667648503991e-01
4.328807885852481996e-01 -9.627085377821393841e-01
4.327498493590059003e-01 -9.617459538989701073e-01
4.326188499744523241e-01 -9.607843137254901134e-01
4.324877903983150862e-01 -9.598236158745713231e-01
4.323566705972992641e-01 -9.588638589618022623e-01
4.322254905380871759e-01 -9.579050416054820660e-01
4.320942501873379915e-01 -9.569471624266144838e-01
4.319629495116877882e-01 -9.559902200488997748e-01
4.318315884777497726e-01 -9.550342130987292677e-01
4.317001670521143919e-01 -9.540791402051782555e-01
4.315686852013488339e-01 -9.531250000000000000e-01
4.314371428919971940e-01 -9.521717911176184046e-01
4.313055400905806414e-01 -9.512195121951220189e-01
4.311738767635976965e-01 -9.502681618722573775e-01
4.310421528775231770e-01 -9.493177387914230048e-01
4.309103683988089739e-01 -9.483682415976619762e-01
4.307785232938839970e-01 -9.474196689386563675e-01
4.306466175291542853e-01 -9.464720194647201490e-01
4.305146510710022856e-01 -9.455252918287937458e-01
4.303826238857875186e-01 -9.445794846864365990e-01
4.302505359398460238e-01 -9.436345966958212816e-01
4.301183871994915253e-01 -9.426906265177270594e-01
4.299861776310133776e-01 -9.417475728155338954e-01
4.298539072006787309e-01 -9.408054342552160110e-01
4.297215758747307546e-01 -9.398642095053346690e-01
4.295891836193900248e-01 -9.389238972370334002e-01
4.294567304008531372e-01 -9.379844961240310086e-01
4.293242161852941496e-01 -9.370460048426150212e-01
4.291916409388634168e-01 -9.361084220716360260e-01
4.290590046276878122e-01 -9.351717464925011214e-01
4.289263072178713387e-01 -9.342359767891682543e-01
4.287935486754942960e-01 -9.333011116481392255e-01
4.286607289666137244e-01 -9.323671497584541390e-01
4.285278480572634052e-01 -9.314340898116850731e-01
4.283949059134537496e-01 -9.305019305019304188e-01
4.282619025011713543e-01 -9.295706705258079960e-01
4.281288377863799455e-01 -9.286403085824493919e-01
4.279957117350194351e-01 -9.277108433734939652e-01
4.278625243130064204e-01 -9.267822736030827402e-01
4.277292754862337953e-01 -9.258545979778527446e-01
4.275959652205715833e-01 -9.249278152069297931e-01
4.274625934818654382e-01 -9.240019240019239355e-01
4.273291602359381991e-01 -9.230769230769230171e-01
4.271956654485887239e-01 -9.221528111484863510e-01
4.270621090855928337e-01 -9.212295869356388334e-01
4.269284911127018689e-01 -9.203072491598655036e-01
4.267948114956447991e-01 -9.193857965451055492e-01
4.266610702001258915e-01 -9.184652278177458662e-01
4.265272671918262648e-01 -9.175455417066155084e-01
4.263934024364033903e-01 -9.166267369429802470e-01
4.262594758994913136e-01 -9.157088122605363534e-01
