# beta	delta
nan -9.801980198019801804e-01
nan -9.800039402078409845e-01
nan -9.798098986535312971e-01
nan -9.796158951278682858e-01
nan -9.794219296196738922e-01
nan -9.792280021177740545e-01
nan -9.790341126109990411e-01
nan -9.788402610881840049e-01
nan -9.786464475381680961e-01
nan -9.784526719497947944e-01
nan -9.782589343119120207e-01
nan -9.780652346133723585e-01
nan -9.778715728430321663e-01
nan -9.776779489897525766e-01
nan -9.774843630423993845e-01
nan -9.772908149898417163e-01
nan -9.770973048209540268e-01
nan -9.769038325246147680e-01
nan -9.767103980897071658e-01
nan -9.765170015051176655e-01
nan -9.763236427597382638e-01
nan -9.761303218424649542e-01
nan -9.759370387421975046e-01
nan -9.757437934478407904e-01
nan -9.755505859483037945e-01
nan -9.753574162324994967e-01
nan -9.751642842893457619e-01
nan -9.749711901077643406e-01
nan -9.747781336766814242e-01
nan -9.745851149850276451e-01
nan -9.743921340217380767e-01
nan -9.741991907757516778e-01
nan -9.740062852360121814e-01
nan -9.738134173914674285e-01
nan -9.736205872310695897e-01
nan -9.734277947437750544e-01
nan -9.732350399185448753e-01
nan -9.730423227443441014e-01
nan -9.728496432101418900e-01
nan -9.726570013049127272e-01
nan -9.724643970176338748e-01
nan -9.722718303372880344e-01
nan -9.720793012528621269e-01
nan -9.718868097533466255e-01
nan -9.716943558277368886e-01
nan -9.715019394650328266e-01
nan -9.713095606542383464e-01
nan -9.711172193843609080e-01
nan -9.709249156444135220e-01
nan -9.707326494234129743e-01
nan -9.705404207103798253e-01
nan -9.703482294943396314e-01
nan -9.701560757643220567e-01
nan -9.699639595093607625e-01
nan -9.697718807184939616e-01
nan -9.695798393807640858e-01
nan -9.693878354852177859e-01
nan -9.691958690209059313e-01
nan -9.690039399768839434e-01
nan -9.688120483422110185e-01
nan -9.686201941059511267e-01
nan -9.684283772571722348e-01
nan -9.682365977849465288e-01
nan -9.680448556783505243e-01
nan -9.678531509264652888e-01
nan -9.676614835183755536e-01
nan -9.674698534431704910e-01
nan -9.672782606899442692e-01
nan -9.670867052477939430e-01
nan -9.668951871058217851e-01
nan -9.667037062531345093e-01
nan -9.665122626788420490e-01
nan -9.663208563720593336e-01
nan -9.661294873219054002e-01
nan -9.659381555175038381e-01
nan -9.657468609479813448e-01
nan -9.655556036024702804e-01
nan -9.653643834701064463e-01
nan -9.651732005400295300e-01
nan -9.649820548013844368e-01
nan -9.647909462433197358e-01
nan -9.645998748549879931e-01
nan -9.644088406255463264e-01
nan -9.642178435441561835e-01
nan -9.640268835999826758e-01
nan -9.638359607821957997e-01
nan -9.636450750799694376e-01
nan -9.634542264824815794e-01
nan -9.632634149789145450e-01
nan -9.630726405584549843e-01
nan -9.628819032102934328e-01
nan -9.626912029236247559e-01
nan -9.625005396876484820e-01
nan -9.623099134915674702e-01
nan -9.621193243245893534e-01
nan -9.619287721759262055e-01
nan -9.617382570347934312e-01
nan -9.615477788904112089e-01
nan -9.613573377320039359e-01
nan -9.611669335488003396e-01
nan -9.609765663300322558e-01
nan -9.607862360649371825e-01
nan -9.605959427427561703e-01
nan -9.604056863527338228e-01
nan -9.602154668841198504e-01
nan -9.600252843261678493e-01
nan -9.598351386681351904e-01
nan -9.596450298992840189e-01
nan -9.594549580088802543e-01
nan -9.592649229861940352e-01
nan -9.590749248204997190e-01
nan -9.588849635010759931e-01
nan -9.586950390172052083e-01
nan -9.585051513581743787e-01
nan -9.583153005132745150e-01
nan -9.581254864718006248e-01
nan -9.579357092230519344e-01
nan -9.577459687563321111e-01
nan -9.575562650609485971e-01
nan -9.573665981262128311e-01
nan -9.571769679414413590e-01
nan -9.569873744959535022e-01
nan -9.567978177790735783e-01
nan -9.566082977801301235e-01
nan -9.564188144884552267e-01
nan -9.562293678933854180e-01
nan -9.560399579842615569e-01
nan -9.558505847504286113e-01
nan -9.556612481812349902e-01
nan -9.554719482660340990e-01
nan -9.552826849941831178e-01
nan -9.550934583550430013e-01
nan -9.549042683379794783e-01
nan -9.547151149323619412e-01
nan -9.545259981275641126e-01
nan -9.543369179129636004e-01
nan -9.541478742779423428e-01
nan -9.539588672118862744e-01
nan -9.537698967041855491e-01
nan -9.535809627442343173e-01
nan -9.533920653214307261e-01
nan -9.532032044251771419e-01
nan -9.530143800448803715e-01
nan -9.528255921699505526e-01
nan -9.526368407898024859e-01
nan -9.524481258938551909e-01
nan -9.522594474715312396e-01
nan -9.520708055122574232e-01
nan -9.518822000054653065e-01
nan -9.516936309405895633e-01
nan -9.515050983070693080e-01
nan -9.513166020943482071e-01
nan -9.511281422918732575e-01
nan -9.509397188890958974e-01
nan -9.507513318754717835e-01
nan -9.505629812404605694e-01
nan -9.503746669735255725e-01
nan -9.501863890641347732e-01
nan -9.499981475017600374e-01
nan -9.498099422758766730e-01
nan -9.496217733759649837e-01
nan -9.494336407915090481e-01
nan -9.492455445119966084e-01
nan -9.490574845269198478e-01
nan -9.488694608257749463e-01
nan -9.486814733980620806e-01
nan -9.484935222332853133e-01
nan -9.483056073209531478e-01
nan -9.481177286505778623e-01
nan -9.479298862116757318e-01
nan -9.477420799937672502e-01
nan -9.475543099863769081e-01
nan -9.473665761790329709e-01
nan -9.471788785612685890e-01
nan -9.469912171226195774e-01
nan -9.468035918526268579e-01
nan -9.466160027408354605e-01
nan -9.464284497767934123e-01
nan -9.462409329500535149e-01
nan -9.460534522501728993e-01
nan -9.458660076667121386e-01
nan -9.456785991892356913e-01
nan -9.454912268073126791e-01
nan -9.453038905105158873e-01
nan -9.451165902884218761e-01
nan -9.449293261306116465e-01
nan -9.447420980266701962e-01
nan -9.445549059661860758e-01
nan -9.443677499387523877e-01
nan -9.441806299339658981e-01
nan -9.439935459414274810e-01
nan -9.438064979507420071e-01
nan -9.436194859515183442e-01
nan -9.434325099333694675e-01
nan -9.432455698859120163e-01
nan -9.430586657987671817e-01
nan -9.428717976615594853e-01
nan -9.426849654639178899e-01
nan -9.424981691954755769e-01
nan -9.423114088458688364e-01
nan -9.421246844047387325e-01
nan -9.419379958617302151e-01
nan -9.417513432064916756e-01
nan -9.415647264286760576e-01
nan -9.413781455179401902e-01
nan -9.411916004639448996e-01
nan -9.410050912563543424e-01
nan -9.408186178848375603e-01
nan -9.406321803390673697e-01
nan -9.404457786087196958e-01
nan -9.402594126834756816e-01
nan -9.400730825530199120e-01
nan -9.398867882070401913e-01
nan -9.397005296352295423e-01
nan -9.395143068272843179e-01
nan -9.393281197729046461e-01
nan -9.391419684617949848e-01
nan -9.389558528836636775e-01
nan -9.387697730282226205e-01
nan -9.385837288851883731e-01
nan -9.383977204442808251e-01
nan -9.382117476952239743e-01
nan -9.380258106277459262e-01
nan -9.378399092315786723e-01
nan -9.376540434964579784e-01
nan -9.374682134121236077e-01
nan -9.372824189683196527e-01
nan -9.370966601547934260e-01
nan -9.369109369612965699e-01
nan -9.367252493775850564e-01
nan -9.365395973934177443e-01
nan -9.363539809985582663e-01
nan -9.361684001827743629e-01
nan -9.359828549358367722e-01
nan -9.357973452475206733e-01
nan -9.356118711076054639e-01
nan -9.354264325058740948e-01
nan -9.352410294321131801e-01
nan -9.350556618761137750e-01
nan -9.348703298276709317e-01
nan -9.346850332765825886e-01
nan -9.344997722126517914e-01
nan -9.343145466256850273e-01
nan -9.341293565054924475e-01
nan -9.339442018418884217e-01
nan -9.337590826246912057e-01
nan -9.335739988437227188e-01
nan -9.333889504888089883e-01
nan -9.332039375497800382e-01
nan -9.330189600164693342e-01
nan -9.328340178787146719e-01
nan -9.326491111263576217e-01
nan -9.324642397492435286e-01
nan -9.322794037372215126e-01
nan -9.320946030801452453e-01
nan -9.319098377678713963e-01
nan -9.317251077902609646e-01
nan -9.315404131371790575e-01
nan -9.313557537984940016e-01
nan -9.311711297640784535e-01
nan -9.309865410238089556e-01
nan -9.308019875675660471e-01
nan -9.306174693852334867e-01
nan -9.304329864666994743e-01
nan -9.302485388018562062e-01
nan -9.300641263805989878e-01
nan -9.298797491928277870e-01
nan -9.296954072284460135e-01
nan -9.295111004773610741e-01
nan -9.293268289294840390e-01
nan -9.291425925747301973e-01
nan -9.289583914030182799e-01
nan -9.287742254042710144e-01
nan -9.285900945684153474e-01
nan -9.284059988853813339e-01
nan -9.282219383451034700e-01
nan -9.280379129375200264e-01
nan -9.278539226525728267e-01
nan -9.276699674802075801e-01
nan -9.274860474103743258e-01
nan -9.273021624330263224e-01
nan -9.271183125381207146e-01
nan -9.269344977156191989e-01
nan -9.267507179554863583e-01
nan -9.265669732476908838e-01
nan -9.263832635822059069e-01
nan -9.261995889490077793e-01
nan -9.260159493380764051e-01
nan -9.258323447393962402e-01
nan -9.256487751429554045e-01
nan -9.254652405387451264e-01
nan -9.252817409167612972e-01
nan -9.250982762670035831e-01
nan -9.249148465794744256e-01
