# Delta	Pbty
-1.111111111111110772e-01 9.958000000000000185e-01
-9.890109890109893831e-02 9.869999999999999885e-01
-8.108108108108108558e-02 9.679999999999999716e-01
-6.951871657754010725e-02 9.379999999999999449e-01
-5.263157894736841119e-02 8.706000000000000405e-01
-4.166666666666665048e-02 7.945999999999999730e-01
-2.564102564102566442e-02 6.657999999999999474e-01
0.000000000000000000e+00 4.305999999999999828e-01
9.900990099009909784e-03 3.466000000000000192e-01
2.439024390243904952e-02 2.291999999999999871e-01
3.381642512077297213e-02 1.710000000000000131e-01
4.761904761904765804e-02 1.049999999999999961e-01
6.976744186046507368e-02 4.059999999999999720e-02
9.090909090909088386e-02 1.600000000000000033e-02
1.111111111111111049e-01 9.400000000000000369e-03
1.304347826086956763e-01 2.599999999999999881e-03
