# Delta	Pbty	Std_Pbty
-1.111111111111110772e-01 1.000000000000000000e+00 0.000000000000000000e+00
-5.263157894736841119e-02 9.968200000000000394e-01 1.509171958393071625e-03
-4.166666666666665048e-02 9.844399999999998707e-01 3.617512957820611264e-03
-2.564102564102566442e-02 9.036199999999997567e-01 2.087691548098042152e-02
-1.522842639593910072e-02 7.495000000000000551e-01 3.320752926671900751e-02
0.000000000000000000e+00 4.304199999999999693e-01 4.190004295940517876e-02
9.900990099009909784e-03 2.449800000000000588e-01 2.871357866933343592e-02
2.439024390243904952e-02 6.388000000000000622e-02 1.612964971721332977e-02
3.381642512077297213e-02 2.062000000000000291e-02 6.124181577974317087e-03
4.761904761904765804e-02 2.960000000000000391e-03 1.660843159362135639e-03
6.976744186046507368e-02 1.200000000000000030e-04 2.561249694973139618e-04
9.090909090909088386e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.111111111111111049e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.304347826086956763e-01 0.000000000000000000e+00 0.000000000000000000e+00
