# Gamma	Pbty	Std_Pbty
-1.111111111111110772e-01 1.600000000000000131e-04 3.072458299147442845e-04
-8.108108108108108558e-02 2.360000000000000552e-03 1.520000000000000084e-03
-5.263157894736841119e-02 2.134000000000000480e-02 6.759763309465797836e-03
-4.166666666666665048e-02 5.228000000000000008e-02 1.292987238916146545e-02
-3.092783505154642065e-02 1.010199999999999987e-01 2.187257643717356245e-02
-2.040816326530614164e-02 1.974799999999999889e-01 3.594481325587879639e-02
-1.010101010101011054e-02 3.043297208296606438e-01 3.820900672576195423e-02
0.000000000000000000e+00 4.385599999999999499e-01 4.035475684476365343e-02
9.900990099009909784e-03 5.928399999999999226e-01 4.287976679041060474e-02
1.960784313725491904e-02 7.297599999999999643e-01 4.630250965120574075e-02
2.912621359223303494e-02 8.556199999999998251e-01 2.263063410512396526e-02
3.846153846153849143e-02 9.264400000000003743e-01 1.917462907072780762e-02
4.761904761904765804e-02 9.716000000000000192e-01 7.385120175054706200e-03
6.976744186046507368e-02 9.986399999999998611e-01 9.221713506718787461e-04
9.090909090909088386e-02 9.999800000000000910e-01 9.797958971131632362e-05
