# Gamma	Pbty
-1.764705882352941568e-01 0.000000000000000000e+00
-1.428571428571428492e-01 0.000000000000000000e+00
-1.111111111111110772e-01 0.000000000000000000e+00
-8.108108108108108558e-02 1.000000000000000021e-03
-5.263157894736841119e-02 2.050000000000000086e-02
-2.564102564102566442e-02 1.395000000000000129e-01
0.000000000000000000e+00 4.530000000000000138e-01
2.439024390243904952e-02 8.135000000000000009e-01
4.761904761904765804e-02 9.769999999999999796e-01
6.976744186046507368e-02 1.000000000000000000e+00
9.090909090909088386e-02 1.000000000000000000e+00
1.111111111111111049e-01 1.000000000000000000e+00
1.304347826086956763e-01 1.000000000000000000e+00
1.489361702127659781e-01 1.000000000000000000e+00
