# Gamma	Pbty	Std_Pbty
8.000000000000000444e-01 1.600000000000000131e-04 3.072458299147442845e-04
8.499999999999999778e-01 2.360000000000000552e-03 1.520000000000000084e-03
9.000000000000000222e-01 2.134000000000000480e-02 6.759763309465797836e-03
9.200000000000000400e-01 5.228000000000000008e-02 1.292987238916146545e-02
9.399999999999999467e-01 1.010199999999999987e-01 2.187257643717356245e-02
9.599999999999999645e-01 1.974799999999999889e-01 3.594481325587879639e-02
9.799999999999999822e-01 3.043297208296606438e-01 3.820900672576195423e-02
1.000000000000000000e+00 4.385599999999999499e-01 4.035475684476365343e-02
1.020000000000000018e+00 5.928399999999999226e-01 4.287976679041060474e-02
1.040000000000000036e+00 7.297599999999999643e-01 4.630250965120574075e-02
1.060000000000000053e+00 8.556199999999998251e-01 2.263063410512396526e-02
1.080000000000000071e+00 9.264400000000003743e-01 1.917462907072780762e-02
1.100000000000000089e+00 9.716000000000000192e-01 7.385120175054706200e-03
1.149999999999999911e+00 9.986399999999998611e-01 9.221713506718787461e-04
1.199999999999999956e+00 9.999800000000000910e-01 9.797958971131632362e-05
