# Gamma	Pbty
6.999999999999999556e-01 0.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00
8.000000000000000444e-01 0.000000000000000000e+00
8.499999999999999778e-01 1.000000000000000021e-03
9.000000000000000222e-01 2.050000000000000086e-02
9.499999999999999556e-01 1.395000000000000129e-01
1.000000000000000000e+00 4.530000000000000138e-01
1.050000000000000044e+00 8.135000000000000009e-01
1.100000000000000089e+00 9.769999999999999796e-01
1.149999999999999911e+00 1.000000000000000000e+00
1.199999999999999956e+00 1.000000000000000000e+00
1.250000000000000000e+00 1.000000000000000000e+00
1.300000000000000044e+00 1.000000000000000000e+00
1.350000000000000089e+00 1.000000000000000000e+00
